Date,gm_cap,tesla_cap
2012-12-27,37.61151857107063,3.6048299999999993
2012-12-28,37.46354764679328,3.55454
2012-12-31,38.78183406308982,3.6240899999999994
2013-01-02,34.69279851575202,4.20784
2013-01-03,35.51456408306575,4.137630000000001
2013-01-04,35.562202666679426,4.0936
2013-01-07,35.32400974861659,4.086460000000001
2013-01-08,34.978630017427136,4.00792
2013-01-09,35.69320877161287,4.00316
2013-01-10,36.25296212905972,3.99007
2013-01-11,36.157684961833745,3.9162899999999996
2013-01-14,36.121956024124884,3.95794
2013-01-15,36.44351646350888,4.0341
2013-01-16,34.90717214200801,4.0579
2013-01-17,35.121545768264006,4.091220000000001
2013-01-18,34.87144320429914,4.107880000000001
2013-01-22,34.097316220596305,4.187609999999999
2013-01-23,34.02585834517856,4.284
2013-01-24,34.27596090914343,4.40181
2013-01-25,34.621340640332875,4.40062
2013-01-28,34.33550913865914,4.52557
2013-01-29,33.8829425943403,4.51605
2013-01-30,33.275550653282565,4.46488
2013-01-31,33.4541953418283,4.46369
2013-02-01,33.54947250905427,4.5577
2013-02-04,33.29936994508801,4.49106
2013-02-05,34.049677636984015,4.53747
2013-02-06,33.96631011566285,4.66123
2013-02-07,33.90676188614714,4.69812
2013-02-08,34.02585834517856,4.66956
2013-02-11,33.97821976156488,4.57198
2013-02-12,34.00203905337172,4.50891
2013-02-13,34.14495480420859,4.57555
2013-02-14,33.04926738112314,4.5577
2013-02-15,33.06117702702656,4.40776
2013-02-19,32.965899859801986,4.67432
2013-02-20,32.27514039742169,4.58626
2013-02-21,31.572471289137976,4.1840399999999995
2013-02-22,32.28705004332372,4.29709
2013-02-25,31.35809766288198,4.091220000000001
2013-02-26,31.95357995803769,4.09717
2013-02-27,32.63242977451456,4.1769
2013-02-28,32.334688626936014,4.14477
2013-03-01,32.406146502355135,4.12335
2013-03-04,32.26323075151827,4.23402
2013-03-05,32.846803400770554,4.36135
2013-03-06,33.2398217155723,4.48511
2013-03-07,33.20409277786343,4.54937
2013-03-08,33.3470085287003,4.57793
2013-03-11,33.71620755169659,4.6529
2013-03-12,33.78766542711572,4.65528
2013-03-13,33.43037605002285,4.63862
2013-03-14,33.53756286315085,4.38515
2013-03-15,33.59711109266656,4.19951
2013-03-18,33.39464711231259,4.18285
2013-03-19,33.46610498773172,4.17452
2013-03-20,34.776166037073175,4.27805
2013-03-21,34.097316220596305,4.28519
2013-03-22,33.60902073856859,4.35778
2013-03-25,33.53756286315085,4.46607
2013-03-26,33.52565321724743,4.50534
2013-03-27,33.41846640411943,4.54104
2013-03-28,33.1326349024443,4.50891
2013-04-01,33.10881561063885,5.22767
2013-04-02,33.26364100737914,5.27646
2013-04-03,33.10881561063885,4.8909
2013-04-04,33.03735773521972,4.99919
2013-04-05,32.77534552535143,4.92303
2013-04-08,32.858713046673984,4.97777
2013-04-09,32.78725517125485,4.8195
2013-04-10,33.78766542711572,4.98134
2013-04-11,35.39546762403572,5.18721
2013-04-12,35.276371165004306,5.20625
2013-04-15,34.43078630588372,5.1527
2013-04-16,35.09772647645717,5.42521
2013-04-17,34.85953355839572,5.40855
2013-04-18,34.51415382720488,5.58943
2013-04-19,34.71661780755885,5.69177
2013-04-22,34.83571426658888,5.97261
